Asset Turnover Ratio,Average return on capital employed 3Years,Book Value,CROIC,Cash Conversion Cycle,Change in promoter holding 3Years,Company,Current Price,Current ratio,Days Payable Outstanding,Debt to equity Ratio,Dividend Yield,EPS,Face Value,Financial leverage,Free cash flow last year,Industry,Industry PE,Intrinsic Value,Inventory turnover ratio,Market Cap,Piotroski score,Price to Earning,Price to Earnings To Growth,Price to Free Cash Flow,Price to Sales Ratio,Price to book value,Profit after tax last year,Promoter holding,Quick ratio,ROCE,ROE,Receivables to Sales Ratio,Reserves,Return on assets,Return on assets 3years,Sales Growth (3Yrs),Sector,Stock P/E,Unpledged promoter holding,Volume,debt to Free cash flow,debt to Reserves Ratio
,,202.59,,,,PDS Multinational Fashions Ltd,326.35,,,,0.00,,10.00,,, Industry: Textiles - Products,,,,850.03,,,,,,,,,,4.71,-1.69,,,,,8.34,Sector: Textiles ,16.09,,,,
,,3.07,,,,Baba Arts Ltd,3.30,,,,0.00,,1.00,,, Industry: Entertainment / Electronic Media Software,,,,17.33,,,,,,,,,,4.68,4.92,,,,,-74.59,Sector: Entertainment ,12.56,,,,
,,17.67,,,,Phoenix Township Ltd,8.10,,,,0.00,,10.00,,, Industry: Hotels,,,,11.33,,,,,,,,,,4.67,2.66,,,,,12.56,Sector: Hotels & Restaurants ,14.52,,,,
0.07,6.50,44.97,170,,0.00,Key Corp Ltd,12.74,3.00,23.93,0.00,0.00,2.01,10.00,1.00,-0.84, Industry: Finance & Investments,25.64,-250.53,,7.64,3.00,6.31,-7.79,-9.10,4.09,0.28,1.21,69.01,3.00,4.66,4.59,0.01,20.97,4.55,6.33,3.43,Sector: Finance ,6.31,69.01,450,0.00,0.00
,,262.75,,,,State Bank of India,363.60,,,,0.00,,1.00,,, Industry: Banks - Public Sector,,,,324499,,,,,,,,,,4.66,1.00,,,,,4.71,Sector: Banks ,140.22,,,,
,,23.97,,,,Responsive Industries Ltd,89.70,,,,0.11,,1.00,,, Industry: Plastics Products,,,,2394,,,,,,,,,,4.65,2.09,,,,,-10.56,Sector: Plastic products ,84.27,,,,
,,97.97,,,,Godrej Properties Ltd,942.50,,,,0.00,,5.00,,, Industry: Construction,,,,23753,,,,,,,,,,4.65,4.19,,,,,0.83,Sector: Realty ,93.83,,,,
,,1030,,,,Dhunseri Tea & Industries Ltd,181.90,,,,4.40,,10.00,,, Industry: Tea,,,,127.42,,,,,,,,,,4.65,4.18,,,,,2.32,Sector: Plantation & Plantation Products ,4.28,,,,
,,333.29,,,,Dishman Carbogen Amcis Ltd,217.05,,,,0.00,,2.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,,,,3503,,,,,,,,,,4.64,3.09,,,,,%,Sector: Pharmaceuticals ,16.62,,,,
,,18.39,,,,Krypton Industries Ltd,16.00,,,,0.00,,10.00,,, Industry: Tyres,,,,23.52,,,,,,,,,,4.63,-0.16,,,,,-6.86,Sector: Tyres ,25.57,,,,
,,110.64,,,,Jammu and Kashmir Bank Ltd,39.75,,,,0.00,,1.00,,, Industry: Banks - Private Sector,,,,2214,,,,,,,,,,4.63,3.42,,,,,-2.12,Sector: Banks ,4.76,,,,
,,3.10,,,,Ashapuri Gold Ornament Ltd,32.65,,,,0.00,,10.00,,, Industry: Diamond Cutting / Jewellery,,,,69.52,,,,,,,,,,4.62,1.07,,,,,%,"Sector: Diamond, Gems and Jewellery ",993.16,,,,
,,6.68,,,,Parsharti Investment Ltd,10.08,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,3.38,,,,,,,,,,4.59,3.67,,,,,24.67,Sector: Finance ,28.17,,,,
,,106.06,,,,United Interactive Ltd,11.73,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,2.15,,,,,,,,,,4.57,1.33,,,,,-60.35,Sector: IT - Software ,8.60,,,,
,,24.07,,,,Vibrant Global Capital Ltd,48.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,109.96,,,,,,,,,,4.57,-0.51,,,,,2.08,Sector: Finance ,,,,,
,,78.97,,,,IVP Ltd,81.55,,,,1.23,,10.00,,, Industry: Chemicals,,,,84.24,,,,,,,,,,4.56,4.22,,,,,27.40,Sector: Chemicals ,24.56,,,,
,,74.38,,,,Haryana Capfin Ltd,42.00,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,21.88,,,,,,,,,,4.56,4.36,,,,,-1.96,Sector: Finance ,11.00,,,,
,,41.62,,,,Modi Naturals Ltd,54.00,,,,0.00,,10.00,,, Industry: Solvent Extraction,,,,68.34,,,,,,,,,,4.54,0.00,,,,,5.87,Sector: Edible Oil ,75.93,,,,
,,10.11,,,,Nihar Info Global Ltd,11.10,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,9.06,,,,,,,,,,4.54,3.72,,,,,44.42,Sector: IT - Software ,905.53,,,,
,,1214,,,,India Motor Parts & Accessories Ltd,839.50,,,,1.31,,10.00,,, Industry: Auto Ancillaries,,,,698.46,,,,,,,,,,4.54,3.31,,,,,-2.43,Sector: Auto Ancillaries ,17.28,,,,
,,10.82,,,,Twinstar Industries Ltd,1.02,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,2.30,,,,,,,,,,4.53,1.80,,,,,23.11,Sector: IT - Software ,5.34,,,,
,,129.86,,,,Bank of Baroda,125.95,,,,0.00,,2.00,,, Industry: Banks - Public Sector,,,,48450,,,,,,,,,,4.53,2.25,,,,,4.93,Sector: Banks ,44.67,,,,
,,12.01,,,,Darshan Orna Ltd,39.35,,,,0.30,,10.00,,, Industry: Diamond Cutting / Jewellery,,,,39.37,,,,,,,,,,4.53,3.18,,,,,68.95,"Sector: Diamond, Gems and Jewellery ",,,,,
,,37.18,,,,Kesoram Industries Ltd,66.95,,,,0.00,,10.00,,, Industry: Diversified - Mega,,,,954.64,,,,,,,,,,4.52,-41.64,,,,,-1.84,Sector: Diversified ,,,,,
,,10.87,,,,Surana Solar Ltd,7.00,,,,0.00,,5.00,,, Industry: Electric Equipment,,,,34.44,,,,,,,,,,4.52,1.61,,,,,-31.08,Sector: Capital Goods - Electrical Equipment ,34.10,,,,
,,37.72,,,,Alpine Housing Development Corporation Ltd,14.64,,,,0.00,,10.00,,, Industry: Construction,,,,25.36,,,,,,,,,,4.50,4.95,,,,,22.61,Sector: Construction ,8.57,,,,
,,406.37,,,,Nahar Capital & Financial Services Ltd,76.05,,,,1.97,,5.00,,, Industry: Finance & Investments,,,,127.31,,,,,,,,,,4.47,0.03,,,,,16.93,Sector: Finance ,606.24,,,,
,,39.49,,,,United Polyfab Gujarat Ltd,15.30,,,,0.00,,10.00,,, Industry: Textiles - Products,,,,10.68,,,,,,,,,,4.46,4.98,,,,,49.49,Sector: Textiles ,7.97,,,,
,,49.19,,,,Hilton Metal Forging Ltd,11.75,,,,0.00,,10.00,,, Industry: Castings & Forgings,,,,14.62,,,,,,,,,,4.43,0.46,,,,,0.99,"Sector: Castings, Forgings & Fastners ",10.99,,,,
,,-19.45,,,,DCM Financial Services Ltd,1.05,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,2.32,,,,,,,,,,4.43,%,,,,,-9.79,Sector: Finance ,,,,,
,,9.93,,,,MMTC Ltd,22.85,,,,0.88,,1.00,,, Industry: Trading,,,,3428,,,,,,,,,,4.42,3.84,,,,,-3.46,Sector: Trading ,38.73,,,,
,,7.44,,,,Shree Rajasthan Syntex Ltd,9.50,,,,0.00,,10.00,,, Industry: Textiles - Spinning - Synthetic / Blended,,,,13.02,,,,,,,,,,4.41,-18.55,,,,,-8.78,Sector: Textiles ,,,,,
,,135.61,,,,Inter Globe Finance Ltd,5.33,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,3.64,,,,,,,,,,4.40,0.55,,,,,-48.73,Sector: Finance ,6.17,,,,
,,11.43,,,,Crescent Leasing Ltd,2.66,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,1.08,,,,,,,,,,4.40,1.55,,,,,-11.61,Sector: Finance ,13.50,,,,
,,22.18,,,,Bharat Wire Ropes Ltd,33.35,,,,0.00,,10.00,,, Industry: Steel - Medium / Small,,,,149.91,,,,,,,,,,4.40,0.42,,,,,29.05,Sector: Steel ,,,,,
,,247.63,,,,Elegant Marbles and Grani Industries Ltd,170.00,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,62.22,,,,,,,,,,4.38,3.67,,,,,-13.39,Sector: Mining & Mineral products ,19.03,,,,
,,54.35,,,,Bang Overseas Ltd,34.70,,,,0.00,,10.00,,, Industry: Textiles - Products,,,,47.05,,,,,,,,,,4.38,4.59,,,,,9.61,Sector: Textiles ,672.16,,,,
,,7.79,,,,B A G Films & Media Ltd,3.40,,,,0.00,,2.00,,, Industry: Entertainment / Electronic Media Software,,,,67.29,,,,,,,,,,4.37,-2.01,,,,,1.17,Sector: Entertainment ,16.78,,,,
,,4.96,,,,Shahi Shipping Ltd,7.87,,,,0.00,,10.00,,, Industry: Shipping,,,,11.40,,,,,,,,,,4.36,5.50,,,,,-3.40,Sector: Shipping ,,,,,
,,238.80,,,,CL Educate Ltd,97.65,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,138.33,,,,,,,,,,4.36,1.62,,,,,1.86,Sector: Education ,6.93,,,,
,,48.90,,,,Rathi Bars Ltd,10.50,,,,0.00,,10.00,,, Industry: Steel - Medium / Small,,,,17.14,,,,,,,,,,4.35,2.41,,,,,25.08,Sector: Steel ,9.02,,,,
,,26.66,,,,Inani Marbles & Industries Ltd,18.00,,,,0.22,,2.00,,, Industry: Miscellaneous,,,,29.27,,,,,,,,,,4.33,0.87,,,,,-17.12,Sector: Miscellaneous ,34.44,,,,
,,11.31,,,,Kapil Raj Finance Ltd,6.80,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,3.50,,,,,,,,,,4.33,4.07,,,,,80.73,Sector: Finance ,,,,,
,,57.29,,,,Premier Synthetics Ltd,12.49,,,,0.00,,10.00,,, Industry: Textiles - Processing,,,,5.74,,,,,,,,,,4.29,7.82,,,,,42.04,Sector: Textiles ,2.77,,,,
,,43.37,,,,D & H India Ltd,18.50,,,,0.00,,10.00,,, Industry: Electrodes - Welding Equipment,,,,13.69,,,,,,,,,,4.29,0.76,,,,,1.21,Sector: Capital Goods-Non Electrical Equipment ,6.61,,,,
,,37.09,,,,Taneja Aerospace & Aviation Ltd,25.85,,,,0.00,,5.00,,, Industry: Engineering,,,,64.47,,,,,,,,,,4.28,0.17,,,,,3.14,Sector: Capital Goods-Non Electrical Equipment ,12.50,,,,
,,17.48,,,,New Light Apparels Ltd,36.80,,,,0.00,,10.00,,, Industry: Trading,,,,8.09,,,,,,,,,,4.27,3.15,,,,,38.74,Sector: Trading ,28.88,,,,
,,55.01,,,,Rashtriya Chemicals & Fertilizers Ltd,56.35,,,,1.06,,10.00,,, Industry: Fertilizers,,,,3109,,,,,,,,,,4.26,2.66,,,,,-1.76,Sector: Fertilizers ,24.78,,,,
,,50.71,,,,Texmaco Rail & Engineering Ltd,57.30,,,,0.43,,1.00,,, Industry: Engineering,,,,1288,,,,,,,,,,4.26,0.89,,,,,28.33,Sector: Capital Goods-Non Electrical Equipment ,17.41,,,,
,,72.00,,,,MBL Infrastructures Ltd,6.85,,,,0.00,,10.00,,, Industry: Construction,,,,71.75,,,,,,,,,,4.26,-20.59,,,,,-36.15,Sector: Construction ,13.54,,,,
,,-5.00,,,,Indra Industries Ltd,27.45,,,,0.00,,10.00,,, Industry: Fertilizers,,,,17.78,,,,,,,,,,4.25,-35.86,,,,,-1.69,Sector: Fertilizers ,,,,,
,,85.29,,,,JBF Industries Ltd,11.50,,,,0.00,,10.00,,, Industry: Textiles - Manmade,,,,94.88,,,,,,,,,,4.24,-7.94,,,,,-5.33,Sector: Textiles ,,,,,
,,1.44,,,,Luharuka Media & Infra Ltd,0.46,,,,2.17,,1.00,,, Industry: Finance & Investments,,,,4.31,,,,,,,,,,4.23,3.20,,,,,52.60,Sector: Finance ,15.96,,,,
,,21.14,,,,Mask Investments Ltd,37.15,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,11.33,,,,,,,,,,4.22,4.29,,,,,11.87,Sector: Finance ,566.69,,,,
,,20.71,,,,Peninsula Land Ltd,5.80,,,,0.00,,2.00,,, Industry: Construction,,,,161.94,,,,,,,,,,4.21,-10.01,,,,,43.38,Sector: Realty ,,,,,
,,14.46,,,,Magellanic Cloud Ltd,29.30,,,,0.34,,10.00,,, Industry: Finance & Investments,,,,73.74,,,,,,,,,,4.20,3.09,,,,,48.61,Sector: Finance ,102.41,,,,
0.80,4.75,19.66,6.39,181.77,0.00,Vaksons Automobiles Ltd,17.50,2.53,119.73,0.42,0.00,0.06,10.00,1.42,0.37, Industry: Trading,53.61,46.66,1.94,11.51,6.00,287.75,48.61,31.22,0.78,0.89,0.04,55.27,0.88,4.20,0.31,0.28,6.35,0.22,0.27,-3.25,Sector: Trading ,287.75,55.27,24000,-2.57,0.85
2.04,13.20,14.70,17.62,38.87,-0.11,Beardsell Ltd,14.35,0.97,70.33,0.95,1.67,-0.27,2.00,1.95,-1.23, Industry: Plastics Products,16.13,,13.32,40.32,1.00,,,-32.78,0.21,0.98,-1.97,74.86,0.73,4.17,-4.77,0.22,35.67,-2.46,3.05,6.12,Sector: Plastic products ,,74.86,1058,5.94,1.10
0.28,3.81,-5.07,6.69,-18.70,54.25,GVK Power & Infrastructure Ltd,5.50,1.32,59.57,,0.00,0.00,1.00,-17.27,1760, Industry: Engineering - Turnkey Services,15.66,,370.75,868.56,8.00,,,0.49,0.22,,-1007.74,54.25,1.31,4.17,%,0.11,-958.63,-5.42,-5.30,8.27,Sector: Infrastructure Developers & Operators ,,54.25,725273,15.65,-15.26
,,19.59,,,,Radhagobind Commercial Ltd,29.45,,,,0.00,,10.00,,, Industry: Trading,,,,4.24,,,,,,,,,,4.16,1.22,,,,,-21.35,Sector: Trading ,,,,,
,,95.20,,,,Jash Engineering Ltd,122.10,,,,0.82,,10.00,,, Industry: Engineering,,,,144.52,,,,,,,,,,4.16,0.79,,,,,13.68,Sector: Capital Goods-Non Electrical Equipment ,16.90,,,,
,,7.24,,,,Sun Retail Ltd,29.00,,,,0.00,,10.00,,, Industry: Trading,,,,28.12,,,,,,,,,,4.16,5.60,,,,,%,Sector: Trading ,122.28,,,,
,,711.48,,,,Thacker & Company Ltd,128.65,,,,0.00,,1.00,,, Industry: Trading,,,,13.99,,,,,,,,,,4.15,3.31,,,,,-17.87,Sector: Trading ,7.60,,,,
,,33.61,,,,Lactose (India) Ltd,21.55,,,,0.00,,10.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,21.96,,,,,,,,,,4.14,-4.59,,,,,9.51,Sector: Pharmaceuticals ,17.16,,,,
,,150.24,,,,Union Bank of India,78.55,,,,0.00,,10.00,,, Industry: Banks - Public Sector,,,,13848,,,,,,,,,,4.13,-11.44,,,,,1.90,Sector: Banks ,,,,,
,,141.34,,,,Wires & Fabriks (S.A) Ltd,64.00,,,,0.94,,10.00,,, Industry: Textiles - Products,,,,19.58,,,,,,,,,,4.11,3.00,,,,,2.61,Sector: Textiles ,15.30,,,,
,,76.38,,,,Ashiana Housing Ltd,123.30,,,,0.20,,2.00,,, Industry: Construction,,,,1262,,,,,,,,,,4.11,1.70,,,,,-13.91,Sector: Realty ,95.97,,,,
,,24.05,,,,Tai Industries Ltd,14.40,,,,0.00,,10.00,,, Industry: Trading,,,,8.64,,,,,,,,,,4.08,3.31,,,,,10.60,Sector: Trading ,5.30,,,,
,,44.11,,,,Andhra Bank,22.80,,,,0.00,,10.00,,, Industry: Banks - Public Sector,,,,6805,,,,,,,,,,4.08,-23.24,,,,,2.39,Sector: Banks ,,,,,
,,6.12,,,,Arihant Institute Ltd,4.18,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,3.93,,,,,,,,,,4.07,3.64,,,,,%,Sector: Miscellaneous ,23.12,,,,
,,7.06,,,,Glittek Granites Ltd,1.80,,,,0.00,,5.00,,, Industry: Miscellaneous,,,,4.68,,,,,,,,,,4.06,5.74,,,,,-10.97,Sector: Miscellaneous ,,,,,
,,20.37,,,,Nutraplus India Ltd,7.92,,,,0.00,,5.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,27.00,,,,,,,,,,4.06,0.21,,,,,18.86,Sector: Pharmaceuticals ,8.13,,,,
,,29.89,,,,Oriental Hotels Ltd,37.40,,,,0.00,,1.00,,, Industry: Hotels,,,,667.96,,,,,,,,,,4.06,3.32,,,,,3.72,Sector: Hotels & Restaurants ,41.23,,,,
,,41.71,,,,Infibeam Avenues Ltd,42.60,,,,0.00,,1.00,,, Industry: Computers - Software - Medium / Small,,,,2826,,,,,,,,,,4.06,3.24,,,,,50.96,Sector: IT - Software ,32.24,,,,
,,73.57,,,,NPR Finance Ltd,15.45,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,9.25,,,,,,,,,,4.05,3.72,,,,,-9.21,Sector: Finance ,3.53,,,,
,,53.97,,,,Veer Energy & Infrastructure Ltd,8.32,,,,0.00,,10.00,,, Industry: Construction,,,,9.58,,,,,,,,,,4.04,4.59,,,,,-33.27,Sector: Infrastructure Developers & Operators ,8.63,,,,
,,74.11,,,,Dhanlaxmi Cotex Ltd,18.45,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,8.99,,,,,,,,,,4.03,2.49,,,,,-2.12,Sector: Finance ,21.40,,,,
,,77.86,,,,RDB Realty & Infrastructure Ltd,25.90,,,,0.00,,10.00,,, Industry: Construction,,,,44.76,,,,,,,,,,4.01,2.92,,,,,-15.35,Sector: Construction ,11.54,,,,
,,47.88,,,,Alembic Ltd,43.00,,,,0.48,,2.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,,,,1104,,,,,,,,,,3.98,15.91,,,,,-4.52,Sector: Pharmaceuticals ,7.13,,,,
,,516.51,,,,Hindustan Composites Ltd,187.95,,,,0.27,,5.00,,, Industry: Auto Ancillaries,,,,277.59,,,,,,,,,,3.97,3.55,,,,,11.67,Sector: Auto Ancillaries ,14.61,,,,
,,542.15,,,,Neuland Laboratories Ltd,520.30,,,,0.23,,10.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs,,,,667.54,,,,,,,,,,3.96,2.60,,,,,9.35,Sector: Pharmaceuticals ,41.13,,,,
,,70.53,,,,Karma Energy Ltd,15.00,,,,0.00,,10.00,,, Industry: Power Generation And Supply,,,,17.35,,,,,,,,,,3.96,-3.47,,,,,27.51,Sector: Power Generation & Distribution ,,,,,
,,44.73,,,,Western India Plywoods Ltd,79.90,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,67.81,,,,,,,,,,3.94,-0.16,,,,,-1.35,Sector: Miscellaneous ,,,,,
,,53.35,,,,Den Networks Ltd,64.10,,,,0.00,,10.00,,, Industry: Entertainment / Electronic Media Software,,,,3059,,,,,,,,,,3.93,-2.06,,,,,4.39,Sector: Entertainment ,,,,,
,,-1.36,,,,GMR Infrastructure Ltd,15.10,,,,0.00,,1.00,,, Industry: Engineering - Turnkey Services,,,,9114,,,,,,,,,,3.92,-37.07,,,,,-7.69,Sector: Infrastructure Developers & Operators ,,,,,
,,57.11,,,,Max Ventures and Industries Ltd,40.70,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,596.67,,,,,,,,,,3.91,0.99,,,,,%,Sector: Finance ,,,,,
,,263.81,,,,Metroglobal Ltd,60.95,,,,0.00,,10.00,,, Industry: Paper,,,,75.18,,,,,,,,,,3.90,3.24,,,,,-4.59,Sector: Paper ,4.42,,,,
,,108.43,,,,Amrapali Fincap Ltd,10.14,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,13.63,,,,,,,,,,3.90,1.91,,,,,52.86,Sector: Finance ,4.94,,,,
,,37.97,,,,IDFC First Bank Ltd,43.10,,,,1.74,,10.00,,, Industry: Banks - Private Sector,,,,20612,,,,,,,,,,3.90,-11.64,,,,,48.50,Sector: Banks ,,,,,
,,99.55,,,,Machino Plastics Ltd,102.50,,,,0.98,,10.00,,, Industry: Plastics Products,,,,62.94,,,,,,,,,,3.89,0.56,,,,,13.95,Sector: Plastic products ,185.12,,,,
,,34.26,,,,Asian Tea & Exports Ltd,10.87,,,,0.00,,10.00,,, Industry: Tea,,,,10.87,,,,,,,,,,3.88,2.65,,,,,-29.47,Sector: Plantation & Plantation Products ,12.08,,,,
,,489.85,,,,Canara Bank,284.40,,,,0.00,,10.00,,, Industry: Banks - Public Sector,,,,21422,,,,,,,,,,3.88,-11.03,,,,,-1.91,Sector: Banks ,,,,,
,,332.95,,,,Ramco Industries Ltd,191.40,,,,0.26,,1.00,,, Industry: Cement Products,,,,1659,,,,,,,,,,3.88,6.00,,,,,2.60,Sector: Cement - Products ,9.88,,,,
,,13.96,,,,Winsome Breweries Ltd,2.50,,,,0.00,,10.00,,, Industry: Breweries & Distilleries,,,,6.92,,,,,,,,,,3.87,3.02,,,,,-28.24,Sector: Alcoholic Beverages ,,,,,
,,61.74,,,,Syndicate Bank,40.00,,,,0.00,,10.00,,, Industry: Banks - Public Sector,,,,10735,,,,,,,,,,3.87,-16.42,,,,,-2.16,Sector: Banks ,,,,,
,,18.37,,,,Kuwer Industries Ltd,3.87,,,,0.00,,10.00,,, Industry: Packaging,,,,3.51,,,,,,,,,,3.87,1.10,,,,,23.82,Sector: Packaging ,,,,,
,,14.08,,,,Frontline Corporation Ltd,12.00,,,,0.00,,10.00,,, Industry: Miscellaneous,,,,6.00,,,,,,,,,,3.85,22.19,,,,,5.65,Sector: Logistics ,,,,,
,,1.90,,,,Tatia Global Venture Ltd,0.26,,,,0.00,,1.00,,, Industry: Textiles - Products,,,,3.94,,,,,,,,,,3.85,1.95,,,,,4.68,Sector: Textiles ,3.05,,,,
,,-26.20,,,,Automotive Stampings & Assemblies Ltd,45.85,,,,0.00,,10.00,,, Industry: Auto Ancillaries,,,,72.72,,,,,,,,,,3.84,%,,,,,22.37,Sector: Auto Ancillaries ,,,,,
,,147.61,,,,IZMO Ltd,43.40,,,,0.00,,10.00,,, Industry: Computers - Software - Medium / Small,,,,56.71,,,,,,,,,,3.83,3.00,,,,,23.45,Sector: IT - Software ,8.39,,,,
,,-859.86,,,,Jet Airways (India) Ltd,48.25,,,,0.00,,10.00,,, Industry: Transport - Airlines,,,,548.12,,,,,,,,,,3.82,%,,,,,5.96,Sector: Air Transport Service ,,,,,
,,10.80,,,,Kings Infra Ventures Ltd,23.45,,,,0.00,,10.00,,, Industry: Construction,,,,55.14,,,,,,,,,,3.80,2.51,,,,,32.80,Sector: Construction ,46.73,,,,
,,16.87,,,,Olympic Cards Ltd,6.65,,,,0.00,,10.00,,, Industry: Printing & Stationery,,,,10.85,,,,,,,,,,3.79,-4.74,,,,,-4.91,Sector: Media - Print/Television/Radio ,,,,,
,,379.80,,,,Asian Hotels (North) Ltd,122.90,,,,0.00,,10.00,,, Industry: Hotels,,,,239.04,,,,,,,,,,3.79,-3.65,,,,,5.64,Sector: Hotels & Restaurants ,,,,,
,,22.38,,,,Konark Synthetic Ltd,9.21,,,,0.00,,10.00,,, Industry: Textiles - Processing,,,,5.35,,,,,,,,,,3.79,-43.51,,,,,-13.74,Sector: Textiles ,,,,,
,,56.66,,,,Glance Finance Ltd,43.50,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,13.09,,,,,,,,,,3.78,2.01,,,,,-19.87,Sector: Finance ,26.71,,,,
,,285.83,,,,SML ISUZU Ltd,679.25,,,,0.22,,10.00,,, Industry: Automobiles - LCVs / HCVs,,,,982.88,,,,,,,,,,3.77,2.10,,,,,0.88,Sector: Automobile ,50.22,,,,
,,45.28,,,,Celestial Biolabs Ltd,5.70,,,,0.00,,10.00,,, Industry: Pharmaceuticals - Indian - Bulk Drugs & Formln,,,,12.87,,,,,,,,,,3.77,3.44,,,,,15.97,Sector: Pharmaceuticals ,7.53,,,,
,,1.33,,,,PMC Fincorp Ltd,0.35,,,,0.00,,1.00,,, Industry: Finance & Investments,,,,17.82,,,,,,,,,,3.77,1.63,,,,,-41.86,Sector: Finance ,11.14,,,,
,,7.46,,,,Southern Latex Ltd,12.80,,,,0.00,,10.00,,, Industry: Textiles - Products,,,,9.42,,,,,,,,,,3.77,3.06,,,,,%,Sector: Textiles ,52.33,,,,
,,162.17,,,,Modi Rubber Ltd,42.95,,,,0.00,,10.00,,, Industry: Tyres,,,,107.55,,,,,,,,,,3.76,0.96,,,,,-65.45,Sector: Tyres ,28.01,,,,
,,78.70,,,,GTV Engineering Ltd,26.20,,,,0.00,,10.00,,, Industry: Electric Equipment,,,,8.18,,,,,,,,,,3.76,2.47,,,,,14.75,Sector: Capital Goods - Electrical Equipment ,9.74,,,,
,,22.83,,,,Energy Development Company Ltd,5.90,,,,8.47,,10.00,,, Industry: Power Generation And Supply,,,,28.03,,,,,,,,,,3.75,-9.96,,,,,16.37,Sector: Power Generation & Distribution ,,,,,
,,23.87,,,,Euro India Fresh Foods Ltd,111.75,,,,0.00,,10.00,,, Industry: Food - Processing - Indian,,,,277.14,,,,,,,,,,3.73,2.40,,,,,8.78,Sector: FMCG ,197.96,,,,
,,-1.68,,,,Sree Jayalakshmi Autospin Ltd,1.95,,,,0.00,,10.00,,, Industry: Textiles - Cotton/Blended,,,,0.87,,,,,,,,,,3.72,%,,,,,-19.81,Sector: Textiles ,2.29,,,,
,,40.90,,,,Modern Shares & Stockbrokers Ltd,8.80,,,,5.68,,10.00,,, Industry: Finance & Investments,,,,2.58,,,,,,,,,,3.71,2.21,,,,,-1.25,Sector: Finance ,,,,,
,,1.53,,,,Orient Tradelink Ltd,3.66,,,,0.00,,2.00,,, Industry: Entertainment / Electronic Media Software,,,,20.07,,,,,,,,,,3.69,5.00,,,,,12.16,Sector: Entertainment ,32.36,,,,
,,8.35,,,,Nova Iron & Steel Ltd,8.00,,,,0.00,,10.00,,, Industry: Steel - Sponge Iron,,,,28.91,,,,,,,,,,3.68,8.16,,,,,29.07,Sector: Steel ,,,,,
,,0.40,,,,Landmarc Leisure Corporation Ltd,0.44,,,,0.00,,1.00,,, Industry: Entertainment / Electronic Media Software,,,,35.20,,,,,,,,,,3.68,3.28,,,,,39.78,Sector: Entertainment ,,,,,
,,13.99,,,,Mefcom Capital Markets Ltd,8.99,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,8.22,,,,,,,,,,3.66,3.53,,,,,101,Sector: Stock/ Commodity Brokers ,,,,,
,,10.04,,,,Ishaan Infrastructure & Shelters Ltd,15.30,,,,0.00,,10.00,,, Industry: Construction,,,,9.91,,,,,,,,,,3.66,2.75,,,,,-0.37,Sector: Construction ,43.08,,,,
,,12.93,,,,Transwarranty Finance Ltd,5.60,,,,0.00,,10.00,,, Industry: Finance & Investments,,,,13.70,,,,,,,,,,3.65,2.27,,,,,9.20,Sector: Finance ,30.45,,,,
,,1148,,,,J L Morison (India) Ltd,1444,,,,0.07,,10.00,,, Industry: Trading,,,,197.83,,,,,,,,,,3.64,3.55,,,,,-2.08,Sector: Trading ,27.21,,,,
,,-0.10,,,,Alka Securities Ltd,0.20,,,,0.00,,1.00,,, Industry: Finance & Investments,,,,1.92,,,,,,,,,,3.64,%,,,,,%,Sector: Stock/ Commodity Brokers ,7.68,,,,
,,24.10,,,,Lotus Eye Hospital & Institute Ltd,19.30,,,,2.59,,10.00,,, Industry: Healthcare,,,,40.14,,,,,,,,,,3.63,3.42,,,,,8.34,Sector: Healthcare ,56.54,,,,
,,-3.24,,,,Biopac India Corporation Ltd,4.50,,,,0.00,,10.00,,, Industry: Plastics Products,,,,7.76,,,,,,,,,,3.62,-14.30,,,,,-6.93,Sector: Plastic products ,,,,,
